,Unnamed: 0,Unnamed: 0.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,Donald Trump and the New Dawn of Tyranny http://flip.it/TEixe7  @realDonaldTrump #realenemyofthepeople,2017-03-03 15:57:23,1,0,837814192409313281,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
1,1,1,Donald Trump has made rookie mistakes – he must change his approach - the guardian https://apple.news/Ay63FnuQuTBSqTdCgo2Ko6w …,2017-03-03 13:30:48,0,0,837777302419292160,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3612}",0.0440277777778,0.0641944444444
2,2,2,"Donald Trump, here's your 'to-do' list on race - CNN https://apple.news/AJROfVO5BRTG_zZ2JvNmcmw …",2017-03-03 13:21:06,0,0,837774861095350272,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
3,3,3,"CIA Expert Drops Trump Stunner: Alarming Details Reveal Elites Plan That Could Take Down Donald Trump.
http://www.wnd.com/2017/03/civil-war-ii/ …",2017-03-03 11:38:17,0,0,837748985590870016,"{'neg': 0.086, 'neu': 0.914, 'pos': 0.0, 'compound': -0.128}",0.0440277777778,0.0641944444444
4,4,4,@realDonaldTrump @SenSchumer  You get em DONALD TRUMP.  Liberals have had enough smear tactics against You&cabinet,2017-03-03 10:42:45,0,0,837735008618098688,"{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.3612}",0.0440277777778,0.0641944444444
5,5,5,"@Complex 
""Wow"" 
I had the same reaction when I heard my song about Donald Trump!
https://soundcloud.com/summitandsammie/donald-trump-flows-prod-mf-doom …",2017-03-03 10:25:05,0,0,837730565075927040,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
6,6,6,"Breaking News , President Donald Trump Latest News Today 3/3/17 , Weekly... https://youtu.be/Q2J-tmapZxA  via @YouTube",2017-03-03 09:39:24,0,0,837719069881159681,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
7,7,7,@kvnzmbno Born Awful: The Donald Trump Story,2017-03-03 08:46:04,1,0,837705644052525058,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.4588}",0.0440277777778,0.0641944444444
8,8,8,"Whoa!  Just graded a paper where someone made the claim that if Donald Trump says it, then it must be true.  Uhhhh...http://www.politifact.com/personalities/donald-trump/statements/byruling/false/ …",2017-03-03 08:32:54,3,0,837702333215682560,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.4753}",0.0440277777778,0.0641944444444
9,9,9,Michael Reagan - Channeling Donald Trump https://townhall.com/columnists/michaelreagan/2017/03/03/channeling-donald-trump-n2293328 …,2017-03-03 07:52:24,0,1,837692142214602755,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
10,10,10,Vietnam absentee Donald Trump's military look raises eyebrows https://www.theguardian.com/us-news/2017/mar/02/donald-trump-military-look-jacket-cap?CMP=share_btn_tw …,2017-03-03 06:54:06,0,0,837677469633241088,"{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.2732}",0.0440277777778,0.0641944444444
11,11,11,"@sto93_sarah @DTrumpExposed 
& it's not illegal to listen to my song about Donald Trump!
https://soundcloud.com/summitandsammie/donald-trump-flows-prod-mf-doom …",2017-03-03 05:55:08,1,0,837662630684815362,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4966}",0.0440277777778,0.0641944444444
12,12,12,Can someone tell me how Donald Trump feels about medical marijuana and will it ever be legalized,2017-03-03 05:03:11,0,0,837649554883358721,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
13,13,13,"Sean Spicer craps himself again, announces that Donald Trump is the new HUD Secretary http://www.palmerreport.com/opinion/sean-spicer-craps-announces-donald-trump-new-hud-secretary/1754/ … via @PalmerReport",2017-03-03 03:48:32,0,0,837630767823994881,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
14,14,14,Steve Bannon had to have been coordinating the Russian collusion in the Donald Trump campaign http://www.palmerreport.com/opinion/steve-bannon-had-to-have-been-coordinating-the-russian-collusion-in-the-donald-trump-campaign/1733/ … via @PalmerReport,2017-03-03 03:40:43,0,0,837628803300147202,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
15,15,15,"White House throws Jeff Sessions under Russia bus, as Donald Trump skips town again http://www.palmerreport.com/opinion/white-house-jeff-sessions-marine-one-russia-trump/1736/ … via @PalmerReport",2017-03-03 03:37:04,0,0,837627884789514241,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
16,16,16,"Donald Trump changed DOJ order of succession weeks ago, knowing Jeff Sessions wouldn’t last http://www.palmerreport.com/opinion/donald-trump-changed-doj-order-succession-weeks-ago-knowing-jeff-sessions-wouldnt-last/1742/ … via @PalmerReport",2017-03-03 03:34:56,0,0,837627348157673473,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.2023}",0.0440277777778,0.0641944444444
17,17,17,Donald Trump still silent a day after Russia bombs and kills U.S. backed troops in Syria http://www.palmerreport.com/opinion/donald-trump-still-silent-a-day-after-russia-bombs-and-kills-u-s-backed-troops-in-syria/1715/ … via @PalmerReport,2017-03-03 03:34:13,0,0,837627165034283008,"{'neg': 0.17, 'neu': 0.777, 'pos': 0.053, 'compound': -0.5267}",0.0440277777778,0.0641944444444
18,18,18,Trump-Russia conspirator J.D. Gordon begins ratting out Donald Trump http://www.palmerreport.com/opinion/trump-russia-conspirator-j-d-gordon-begins-ratting-donald-trump/1747/ … via @PalmerReport,2017-03-03 03:32:58,0,0,837626850218291200,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
19,19,19,The ultimate case for a special prosecutor and the eventual resignation of Donald Trump http://www.dailykos.com/story/2017/3/2/1639388/-The-ultimate-case-for-a-special-prosecutor-and-the-eventual-resignation-of-Donald-Trump …,2017-03-03 00:27:40,0,1,837580217581461504,"{'neg': 0.13, 'neu': 0.71, 'pos': 0.16, 'compound': 0.128}",0.0440277777778,0.0641944444444
20,20,20,"Donald Trump Jr. was paid $50,000 for meeting to discuss U.S.-Russia cooperation in Syria http://www.dailykos.com/story/2017/3/2/1639449/-Donald-Trump-Jr-was-paid-50-000-for-meeting-to-discuss-U-S-Russia-cooperation-in-Syria …",2017-03-02 23:52:48,0,1,837571445186256896,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
21,21,21,"@banji85 
I made a nice Lil remix to this song about how I don't like Donald Trump! Would love to hear your thoughts
https://soundcloud.com/summitandsammie/donald-trump-flows-prod-mf-doom …",2017-03-02 23:14:06,0,0,837561707815841792,"{'neg': 0.077, 'neu': 0.657, 'pos': 0.266, 'compound': 0.7337}",0.0440277777778,0.0641944444444
22,22,22,"@AlexGale 
""Baby song about Donald Trump""
https://soundcloud.com/summitandsammie/donald-trump-flows-prod-mf-doom …",2017-03-02 22:37:27,0,0,837552481110376448,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
23,23,23,"@Frankles7 @ESPNNBA 
My song about Donald Trump went 36-36!
https://soundcloud.com/summitandsammie/donald-trump-flows-prod-mf-doom …",2017-03-02 22:36:29,0,0,837552238935449602,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
24,24,24,"@JaamieeexD @Complex 
Sammie x MF Doom x Donald Trump 
https://soundcloud.com/summitandsammie/donald-trump-flows-prod-mf-doom …",2017-03-02 21:24:16,3,0,837534064806518784,"{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4019}",0.0440277777778,0.0641944444444
25,25,25,"@GavynLohnes you seem like a nice kid lmao, so I'm gonna tell you to check out my song about Donald Trump!
https://soundcloud.com/summitandsammie/donald-trump-flows-prod-mf-doom …",2017-03-02 21:16:16,0,0,837532053985886213,"{'neg': 0.0, 'neu': 0.655, 'pos': 0.345, 'compound': 0.8588}",0.0440277777778,0.0641944444444
26,26,26,"I gave Donald Trump a chance, and then he... http://www.huffingtonpost.com/entry/i-gave-donald-trump-a-chance-and-then-he_us_58b41f40e4b0e5fdf61974a9?ncid=engmodushpmg00000004 … via @HuffPostPol",2017-03-02 20:47:17,0,1,837524759248150528,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.25}",0.0440277777778,0.0641944444444
27,27,27,Secret Ledger in Ukraine Lists Cash for Donald Trump’s Campaign Chief https://nyti.ms/2jEdH9d ,2017-03-02 20:22:55,3,3,837518624235618304,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
28,28,28,"@TeaPainUSA I found a set of voodoo dolls of the whole crew on ebay. DONALD TRUMP, PENCE, BANNON, RYAN, CONWAY pic.twitter.com/1lLIM3m9PZ",2017-03-02 19:40:55,1,1,837508058343407617,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
29,29,29,@donald_trump_90 @ArcticFox_am_Ipic.twitter.com/XgJg7aE2OX,2017-03-02 18:38:55,1,0,837492454521769984,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
30,30,30,@donald_trump_90 @ArcticFox_am_I Donald Trump is a fake. Period,2017-03-02 18:37:55,1,0,837492200330113024,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.4767}",0.0440277777778,0.0641944444444
31,31,31,"@SaltyStatler @Ya_BoyBJaxx @LILUZIVERT 
Be in another universe.. but listen to my song about Donald Trump!
https://soundcloud.com/summitandsammie/donald-trump-flows-prod-mf-doom …",2017-03-02 18:05:31,0,0,837484046343077892,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
32,32,32,Do you believe that Donald Trump colluded with Russia to get them to hack Podesta and HRC's emails?,2017-03-02 16:19:33,1,2,837457379750981632,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
33,33,33,"As Trump Brings Jobs to America, Democrats Kill them with Taxes https://goo.gl/0KKeU2  #DonaldTrump via @ConstitutionNat@Dem job killers",2017-03-02 16:11:47,0,0,837455426417377280,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.875}",0.0440277777778,0.0641944444444
34,34,34,"@lowkeyscum 
Well don't talk to me unless you heard my song about Donald Trump!
https://soundcloud.com/summitandsammie/donald-trump-flows-prod-mf-doom …",2017-03-02 16:11:42,0,0,837455407383719937,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.3382}",0.0440277777778,0.0641944444444
35,35,35,Jeff Sessions allegedly steered Russian operative Carter Page to Donald Trump campaign https://www.palmerreport.com/politics/jeff-sessions-carter-page-russia-donald-trump/1709/ … via @PalmerReport,2017-03-02 16:09:06,0,0,837454753068167168,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0440277777778,0.0641944444444
